id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
737660416545632684,"Welcoming rm+en-suite, walk to Harvard/MIT/Central",16241860,Isabel,,Mid-Cambridge,42.37037,-71.10125,Private room,99,1,196,2025-09-16,5.45,11,266,66,C0360560491
738938199129215325,"1 BR full apt w/ private hot tub, yard; sleeps 4",5451595,Robert V,,Cambridgeport,42.36023,-71.1065,Entire home/apt,273,2,114,2025-09-14,3.19,1,338,31,
739965948118416572,Private bedroom close to Harvard h1,477156485,Juliana,,Wellington-Harrington,42.37336,-71.09974,Private room,82,1,84,2025-09-26,2.40,5,325,41,
739986372349050050,Private bedroom close to Harvard h2,477156485,Juliana,,Mid-Cambridge,42.37287,-71.10135,Private room,80,1,74,2025-09-23,2.87,5,340,45,
739993160391510614,Private bedroom close to Harvard and Central SQ h3,477156485,Juliana,,Mid-Cambridge,42.37272,-71.10028,Private room,80,1,131,2025-09-21,3.74,5,323,44,
740631958938643314,Lovely 2 Bed w/ Free Parking Near Harvard,43450256,Steve,,Mid-Cambridge,42.37171,-71.11152,Entire home/apt,,1,0,,,83,0,0,
749247069028640779,Quiet Home w/ Cozy Basement Suite,308217498,Marisa,,North Cambridge,42.39283,-71.13305,Entire home/apt,,1,0,,,5,0,0,C1421452992
749662274596306013,Cheerful Home Close to Everything!,308217498,Marisa,,North Cambridge,42.39311,-71.13464,Entire home/apt,,1,0,,,5,0,0,C1421452992
751728834760050086,"The Tree House - Spacious, Private, Primary Suite",308217498,Marisa,,North Cambridge,42.39392,-71.13291,Private room,,1,0,,,5,0,0,C1421452992
751932700586395273,"Blueground | Central Square, nr t station",107434423,Blueground,,Cambridgeport,42.3626336,-71.1017672,Entire home/apt,366,32,2,2025-08-11,0.07,169,292,1,
752024667712943044,"Spacious Room | Fast Commute to Harvard, MGH, MIT",232009663,Annie,,Neighborhood Nine,42.38879,-71.12231,Private room,146,29,10,2025-04-05,0.29,4,185,3,
752145851463773023,"Newly renovated, cozy & spacious 1 bedroom",74738540,Margaret,,Mid-Cambridge,42.3763862,-71.1084356,Entire home/apt,228,1,43,2025-08-25,1.64,1,33,14,
752394278759503874,"Bright, Modern Basement Apartment",308217498,Marisa,,North Cambridge,42.39285,-71.13452,Private room,,1,2,2022-11-20,0.06,5,0,0,C1421452992
752446517808850662,Huge Sunny Oasis Near Harvard,308217498,Marisa,,North Cambridge,42.39284,-71.13294,Private room,,1,0,,,5,0,0,C1421452992
753527092017125372,"CHA, Cambridge/Somerville,InmanSquare",37907846,Boston,,Mid-Cambridge,42.37429,-71.1024,Entire home/apt,162,2,150,2025-09-10,4.34,3,281,36,
754455296509440408,Hotel Smaller Room Near T With Free Parking #5,162885740,Hong,,North Cambridge,42.39448,-71.1268,Private room,,1,24,2025-08-13,0.73,23,301,9,
754920402986454869,"Blueground | Cambridge Alewife, gym & roof, nr t",107434423,Blueground,,Cambridge Highlands,42.39122950000001,-71.14578879999999,Entire home/apt,241,32,1,2023-04-23,0.03,169,271,0,
757175885529058316,"Skylit rm w/long desk, walk to Harvard/MIT/Central",16241860,Isabel,,Mid-Cambridge,42.37036691,-71.10125184,Private room,58,1,169,2025-09-25,5.26,11,239,58,C0360560491
762249424741408581,Venn | Harvard | Sunlight Room,277913848,Venn,,Mid-Cambridge,42.37615,-71.10686,Private room,,3,24,2025-07-17,0.70,5,290,8,
763897924434821061,a private room at porter sq d1,488388831,Kaan,,Agassiz,42.38741,-71.11836,Private room,91,1,52,2025-06-25,1.56,9,341,16,C0276970540
763916662800054874,a private room at porter sq d2,488388831,Kaan,,Agassiz,42.38745,-71.11768,Private room,92,1,62,2025-09-01,1.87,9,309,26,C0276970540
763925249468181362,a private room w bath at porter e3,488388831,Kaan,,North Cambridge,42.38935,-71.1187,Private room,115,1,87,2025-09-23,2.57,9,327,22,C0276970540
763927892463989895,a private room at porter sq e4,488388831,Kaan,,North Cambridge,42.3889,-71.11791,Private room,93,1,45,2025-09-21,1.31,9,348,15,C0276970540
763929816995716482,a private room at porter sq f1,488388831,Kaan,,Neighborhood Nine,42.38763,-71.12007,Private room,95,1,136,2025-07-30,3.96,9,302,41,C0276970540
764348702017597696,Luxury Cambridge Apartment with Driveway Parking,294884643,John,,North Cambridge,42.40018,-71.13661,Entire home/apt,476,2,82,2025-09-21,2.46,1,244,31,C0398650491
766161909233329306,a private bedroom at porter sq e2,488388831,Kaan,,North Cambridge,42.3895,-71.11793,Private room,90,1,56,2025-09-01,1.67,9,301,20,0000000
769640288432410956,Huron Village House Shared Lower,4642626,Amy,,West Cambridge,42.38071,-71.13849,Private room,100,30,1,2023-06-09,0.04,1,286,0,
771489576280050054,"Blueground | Central Square, nr t station",107434423,Blueground,,Cambridgeport,42.3626336,-71.1017672,Entire home/apt,448,32,2,2024-08-07,0.11,169,278,0,
773279975771551581,Modern 2Br2Ba apartment,163848078,Adam,,East Cambridge,42.36909,-71.07387,Entire home/apt,318,4,37,2025-09-19,1.11,3,352,6,
773338595139420519,Private bedroom close to Harvard i1,477156485,Juliana,,Wellington-Harrington,42.37199,-71.09561,Private room,90,1,104,2025-09-14,3.10,5,329,40,C1375977522
775259444004817072,"Blueground | E Cambridge, gym & w/d, nr lechmere t",107434423,Blueground,,East Cambridge,42.3707006,-71.074685,Entire home/apt,416,32,0,,,169,360,0,
775259755847058465,"Blueground | E Cambridge, gym & w/d, nr lechmere t",107434423,Blueground,,East Cambridge,42.370595,-71.074224,Entire home/apt,351,32,1,2025-05-20,0.23,169,28,1,
776129938479764291,Cozy 2 Bed 1 Bath Apartment,43450256,Steve,,East Cambridge,42.36921,-71.0802,Entire home/apt,278,4,0,,,83,71,0,
776192944026751835,2 Bed 1 Bath on Quiet Street,43450256,Steve,,East Cambridge,42.36913,-71.08163,Entire home/apt,,18,0,,,83,0,0,
777425697740544030,"Blueground | Kendall Square, nr restaurants & mit",107434423,Blueground,,East Cambridge,42.36624,-71.084097,Entire home/apt,325,32,0,,,169,242,0,
778274068943787674,"Quiet Room,  Private Desk, Walk to MIT, Near Shops",43450256,Steve,,East Cambridge,42.36904,-71.07911,Private room,94,30,1,2025-06-30,0.33,83,352,1,
785671554298881212,Private bedroom close to Harvard i3,477156485,Juliana,,The Port,42.36619766214012,-71.09666758363969,Private room,80,1,86,2025-09-19,2.56,5,323,53,
785766126951688904,Sea Port 2BR 2BA Condo in Seaport Area,163848078,Adam,,East Cambridge,42.37135923553282,-71.07545867832205,Entire home/apt,512,1,33,2024-06-29,1.01,3,343,0,ROC-20357363-005
786908960517378314,Private Studio in Top Location: Steps to Harvard,79858079,Diana,,Mid-Cambridge,42.36954,-71.10922,Entire home/apt,190,1,129,2025-09-20,3.90,1,144,61,
791095774067370869,"Blueground | Cambridge Alewife, gym & roof, nr t",107434423,Blueground,,Cambridge Highlands,42.39122950000001,-71.14578879999999,Entire home/apt,290,32,3,2025-06-25,0.15,169,90,2,
792520660153807199,"Blueground | Kendall Sq, gym & concierge, nr mit",107434423,Blueground,,East Cambridge,42.36487379999999,-71.0830428,Entire home/apt,,32,0,,,169,281,0,
794831012886639062,Cambridge Harvard - MIT W4,19788941,Jean Manuel,,The Port,42.36911175068031,-71.09618205265802,Private room,90,2,5,2025-04-22,0.15,7,342,1,
801526881045192241,Room: 10 Mins to Harvard & MGH,372724368,Erik,,North Cambridge,42.39041859634001,-71.1225242837107,Private room,110,30,0,,,1,365,0,
807752055637299743,Apt in superb Cambridge location,17733671,Brielle,,West Cambridge,42.38282,-71.1349,Entire home/apt,,6,4,2025-08-09,0.23,1,0,1,
810038943050476078,Cambridge Retreat - Sunny 2BR - Close to Harvard,467318,Shelley,,Neighborhood Nine,42.3857191,-71.1345152,Entire home/apt,243,2,133,2025-09-18,4.16,1,146,45,STR-204787
810959250776267721,"Charming home & neighborhood near Harvard, Tufts",21103602,Mary Ann,,North Cambridge,42.394224,-71.12835299999999,Entire home/apt,185,31,10,2025-08-09,0.38,2,58,5,
817248146733376123,"Central, spacious, discounts for longer stays!",69838,Mara,,Riverside,42.36815,-71.11035,Entire home/apt,648,5,7,2025-06-02,0.25,1,26,2,
821812290137628437,Hotel - Scholar House Near T #4,162885740,Hong,,North Cambridge,42.39364628471981,-71.12710445429768,Private room,,20,9,2025-09-25,0.28,23,233,2,
821895641723578183,Hotel - Scholar House Near T #1,162885740,Hong,,North Cambridge,42.393698370511544,-71.12528914977544,Private room,90,14,22,2025-09-01,0.75,23,290,8,
821910323935948974,Hotel - Scholar House Near T #3,162885740,Hong,,North Cambridge,42.39422,-71.1257,Private room,,14,23,2025-06-06,0.73,23,197,9,
824640034907325536,"Cambridge Luxury, Studio Available-All To Yourself",37907846,Boston,,Mid-Cambridge,42.37116935222927,-71.10487747277199,Entire home/apt,99,29,7,2025-06-19,0.27,3,47,5,
825450630108095667,"Harvard/MIT, Private rm +private BR +share kitchen",16241860,Isabel,,Mid-Cambridge,42.370427,-71.1013593,Private room,91,1,211,2025-09-15,6.75,11,262,60,C0360560491
826878627372437170,"zzz Excellent 2 bed, 2 bath East Cam",43450256,Steve,,East Cambridge,42.37264916786932,-71.07659596881092,Entire home/apt,,30,0,,,83,0,0,C0196270782
828014380642849064,"Blueground | Cambridgeport, w/d & gym, nr mit",107434423,Blueground,,Cambridgeport,42.3566191,-71.1062769,Entire home/apt,290,32,1,2024-02-29,0.05,169,93,0,
830972032887751004,"Blueground | E Cambridge, w/d & gym, nr lechmere t",107434423,Blueground,,East Cambridge,42.373028,-71.0785923,Entire home/apt,278,32,2,2023-12-20,0.07,169,127,0,
831932276887004558,Free Parking 2 Bed Near Harvard,43450256,Steve,,Mid-Cambridge,42.371399729473985,-71.11264690650333,Entire home/apt,252,30,4,2024-11-03,0.14,83,347,1,
838318416540441521,"Blueground | E Cambridge, w/d, nr lechmere t",107434423,Blueground,,East Cambridge,42.373028,-71.0785923,Entire home/apt,260,32,0,,,169,107,0,
838434452653109023,Exceptional Modern-Yet-Cozy Cambridge Home,37313795,Nancy,,Cambridgeport,42.3605313,-71.1064337,Entire home/apt,1500,1,50,2025-09-03,1.66,1,324,23,
841164665014906054,"Blueground | Central Sq, w/d & gym, nr t station",107434423,Blueground,,Cambridgeport,42.36229,-71.1007134,Entire home/apt,294,32,0,,,169,120,0,
841777768042968655,"Blueground | Central Sq, w/d & gym, nr t station",107434423,Blueground,,Cambridgeport,42.36229,-71.1007134,Entire home/apt,294,32,0,,,169,152,0,
843249477676142287,"Blueground | E Cambridge, gym, nr lechmere t",107434423,Blueground,,East Cambridge,42.370595,-71.074224,Entire home/apt,304,32,0,,,169,122,0,
843249807094408605,"Blueground | E Cambridge, gym, nr lechmere t",107434423,Blueground,,East Cambridge,42.3707006,-71.074685,Entire home/apt,307,32,1,2024-08-24,0.07,169,176,0,
844342834369735120,Modern Cambridge oasis with EV parking and yard,97154914,David,,Riverside,42.36471,-71.11471,Entire home/apt,446,2,6,2025-07-12,0.21,1,41,2,
848589438104752605,Queen Bedroom Near Harvard,43450256,Steve,,Mid-Cambridge,42.37199,-71.11074,Private room,177,30,2,2024-02-16,0.08,83,347,0,
857003069429605041,"Blueground | E Cambridge, gym & w/d, nr lechmere t",107434423,Blueground,,East Cambridge,42.3707006,-71.074685,Entire home/apt,436,32,1,2024-03-27,0.05,169,149,0,
857305605360993614,"99 Quiet Room, Private Desk, Near Supermarket 8890",43450256,Steve,,Wellington-Harrington,42.37219776417947,-71.09086240621401,Private room,96,30,0,,,83,246,0,
857499016038024984,"Room Near MIT/Kendall/Harvard, 30 Days+*",229497500,Yudong,,Wellington-Harrington,42.36799219997962,-71.09066843888034,Private room,75,30,8,2025-06-04,0.47,20,290,5,
858775905168709024,East Cambridge Room,43450256,Steve,,Wellington-Harrington,42.37209,-71.09069,Private room,95,30,2,2023-12-17,0.07,83,246,0,
859330642885797356,1st flr - Classic Triple Decker near Harvard+MIT,47618394,Liesl,,Cambridgeport,42.36272448218725,-71.10364953809813,Entire home/apt,241,2,73,2025-09-07,2.60,1,2,38,44924
861332024970563160,"Blueground | E Cambridge, gym & w/d, nr t station",107434423,Blueground,,East Cambridge,42.373028,-71.0785923,Entire home/apt,266,32,0,,,169,240,0,
862317296737878056,Home in Porter Square,508544463,Elaine,,North Cambridge,42.38814,-71.11862,Entire home/apt,,2,36,2024-05-27,1.21,1,0,0,
863179731043996638,Excellent Room Next to Harvard,43450256,Steve,,Mid-Cambridge,42.37301575406707,-71.1127755945934,Private room,152,30,3,2023-08-26,0.11,83,110,0,
863789008478115840,"Next to Harvard, Walk to Grocery, Shops, & Parks",43450256,Steve,,Mid-Cambridge,42.37357,-71.11125,Private room,92,3,0,,,83,88,0,
863857193342827363,Cozy Room Next to Harvard,43450256,Steve,,Mid-Cambridge,42.37346038488479,-71.11109774782895,Private room,181,30,3,2023-08-31,0.11,83,99,0,
864667348137959644,Luxe 3BR apartment at MIT/Harvard/MGH Free Parking,132084149,Serene,,Wellington-Harrington,42.3683768,-71.0914493,Entire home/apt,359,2,135,2025-09-21,4.66,3,340,55,C0421950491
869149757151364528,"P11, Cozy Room Near MIT/MGH/Harvard, 30 Days+",229497500,Yudong,,East Cambridge,42.36973,-71.08375,Private room,59,30,6,2025-07-30,0.23,20,279,2,
869155942899961300,"P21, Cozy Room Near MIT/MGH/Harvard, 30 Days+",229497500,Yudong,,East Cambridge,42.368589451949134,-71.08368719427932,Private room,57,30,7,2025-05-15,0.40,20,256,3,
871041683573679176,"Room Near MIT/MGH/Harvard, 30 Days+",229497500,Yudong,,Wellington-Harrington,42.37027,-71.08964,Private room,74,30,13,2025-08-25,0.46,20,240,6,
871115591144416347,"3-min walk to subway, parking, TOP FLOOR",173354770,Tingying Wu,,North Cambridge,42.389881440440405,-71.12277996100747,Entire home/apt,130,30,4,2025-08-26,0.28,2,282,3,
875356456027741353,Private Room near Harvard/MIT/Union/Inman/Central,1607689,Chris,,Wellington-Harrington,42.37408027265782,-71.09550633642222,Private room,153,1,5,2024-06-13,0.17,1,267,0,
876003038613111572,Spacious 2-bedroom apt. in Cambridge,24563407,Anastasia,,Cambridgeport,42.361980637865095,-71.11217418518727,Entire home/apt,,28,61,2025-09-06,2.07,1,0,11,C0422010491
876412131220574573,Walk to Harvard/MIT/Charles River/BU/Fenway,21647935,Sherry,,Cambridgeport,42.360533875098575,-71.1105714095178,Entire home/apt,548,4,35,2025-06-28,1.24,1,176,8,STR-222957
877095135477780338,"P14, Cozy Room Near MIT/MGH/Harvard, 30 Days+",229497500,Yudong,,East Cambridge,42.3685,-71.08232,Private room,59,30,6,2025-05-25,0.24,20,302,2,
879943149311390458,Budget room in Cambridge,201911026,Gokhan,,The Port,42.37036824414339,-71.09752015039251,Private room,85,1,153,2025-09-11,5.25,5,233,44,
881080600879979804,"P13, Cozy Room Near MIT/MGH/Harvard, 30 Days+",229497500,Yudong,,East Cambridge,42.36851055855416,-71.08383824975019,Private room,61,30,8,2025-08-23,0.30,20,289,4,
882866059511338482,Harvard/MIT Commencement Find,24945319,Dení,,Mid-Cambridge,42.3763835,-71.1094659,Entire home/apt,,3,7,2025-06-21,0.24,1,0,4,
884085118462269211,"Great, Quiet Queen Bedroom",43450256,Steve,,East Cambridge,42.37225021329599,-71.08596889785468,Private room,100,15,0,,,83,88,0,
884603975720143185,Prime Location in Cambridge,16704688,Sabine,,Agassiz,42.38417584637305,-71.11858766319253,Entire home/apt,,1,3,2023-08-04,0.11,1,0,0,C0428930491
886137842431866888,Sunny Third Floor Treetops,513277312,Carol,,Neighborhood Nine,42.38790945286744,-71.1293609880553,Entire home/apt,,31,5,2025-07-07,0.18,1,266,2,CO145098784
889777551432433232,Luxury 3BR Townhouse Harvard SQ,26235383,Kate,,Mid-Cambridge,42.3759528,-71.1093738,Entire home/apt,400,32,33,2025-08-23,1.19,1,119,2,
898743835070344633,"Upscale studio, near Harvard &MIT, amazing views",47563583,Ava,,The Port,42.364914948786584,-71.10250436942775,Entire home/apt,212,2,31,2025-05-21,1.12,1,261,11,
899055640620536833,"Blueground | E Cambridge, gym & w/d, nr green line",107434423,Blueground,,East Cambridge,42.370595,-71.074224,Entire home/apt,430,32,0,,,169,0,0,
899165085303054005,"Minutes to Harvard, MIT, Lesley, MGH, Downtown",95634275,Sophia,,Neighborhood Nine,42.388498061965294,-71.12075978498602,Private room,77,29,5,2025-08-03,0.18,7,103,3,
900035813579443874,Lush Haven in Boston-Cambridge,36389408,Guillermo,,Wellington-Harrington,42.37413124235291,-71.09847267853758,Entire home/apt,645,3,13,2025-09-01,0.48,1,24,8,
904279346273381729,Central Square 3BR w/ parking Luxury House,529457823,Trang Diep Kieu,,The Port,42.36696988093014,-71.10015219605705,Entire home/apt,,1,56,2025-08-27,2.04,2,0,12,21249061-002
907107188870037315,"2-bedroom quiet Cambridge, sleeps up to 5",23043851,Margaret,,Cambridgeport,42.363306560947706,-71.1064523196804,Entire home/apt,290,1,120,2025-09-20,4.66,1,50,52,STR-228029
907922146510569453,Spacious Queen Bedroom near Harvard; Desk & W/D,43450256,Steve,,Mid-Cambridge,42.37189946110058,-71.11113427584401,Private room,132,30,3,2024-02-28,0.11,83,358,0,
912225774852108276,"Spacious 3 Bed, 2 Bath w/ W/D",43450256,Steve,,East Cambridge,42.37180727200435,-71.08338295019232,Entire home/apt,314,30,2,2025-08-07,0.08,83,271,1,
912260040502294810,Economy 2 Bed w/ Free Parking,43450256,Steve,,East Cambridge,42.36847359631045,-71.08202945139209,Entire home/apt,203,4,47,2025-09-12,2.01,83,329,21,
913139088938753121,1-Bedroom Hotel Suite - 1 bed,326084746,Suiteness,,Area 2/MIT,42.35367,-71.10516,Private room,874,1,0,,,1,365,0,
914526512928239735,Modern and Spacious One-Bedroom in Kendall Square,22541573,Furnished Quarters,,East Cambridge,42.3643485823804,-71.08208549215917,Entire home/apt,195,30,0,,,12,293,0,
917914899810546988,"Blueground | Central Sq, gym & w/d, nr red line",107434423,Blueground,,The Port,42.36375950000001,-71.10030499999999,Entire home/apt,,32,0,,,169,282,0,
918749466220965200,"Elegant 3-Bed Oasis in Cambridge
 Near Harvard/MIT",710114,Jordan,,West Cambridge,42.3743,-71.13391,Entire home/apt,341,2,26,2025-09-22,1.04,2,155,13,C0318860491
919434524468768915,"Cambridge Luxury Home, Room Available",37907846,Boston,,Mid-Cambridge,42.37105,-71.10434,Private room,68,91,3,2025-06-30,0.22,3,182,2,
919709567989940145,Tranquil 2 BR 2BA apartment with stunning views,518882444,Greg,,East Cambridge,42.37052,-71.07249,Entire home/apt,998,29,0,,,2,365,0,C0438050351
919736081970491426,Modern 2Br2Ba apartment,518882444,Greg,,East Cambridge,42.37097,-71.07292,Entire home/apt,998,4,0,,,2,349,0,C0438170351
919781632888020415,"Single family,3 bed, 3 bath,Harvard, MIT,hospitals",31340713,Kama,,Riverside,42.36556,-71.10916,Entire home/apt,361,2,33,2025-09-14,1.28,10,350,18,C0438720491
919789980234899287,"Multi-level, 3Bed, 3Bath, MIT",266312920,STARS Of,,Riverside,42.36447,-71.10935,Entire home/apt,402,2,10,2025-05-30,0.43,6,350,6,C0438720491
923317061110084218,Luxury 4BR near Harvard/MIT w/ King Beds+Parking!,11274561,Philip,,The Port,42.36615,-71.09774,Entire home/apt,375,5,93,2025-09-25,3.43,3,82,44,1144366
932719108839611144,Modern One Bedroom in the Heart of Cambridge,22541573,Furnished Quarters,,East Cambridge,42.36272,-71.08263,Entire home/apt,223,30,0,,,12,279,0,
939400078868290225,Beautiful Cambridgeport Apartment (Central Square),149953872,Justin,,Cambridgeport,42.36152,-71.10843,Entire home/apt,248,2,55,2025-09-12,2.21,1,320,27,C0444120491
946460026402767141,Beautiful 2-Bedroom Condo Near T,307028276,Stacy,,North Cambridge,42.39609919999999,-71.1361411,Entire home/apt,196,91,0,,,1,358,0,
947111916947155717,Back-Bay Upscale Central Condo Bos Common Downtown,463475392,Haroldo,,East Cambridge,42.36206,-71.08106,Entire home/apt,547,2,47,2025-08-26,1.85,33,160,18,
947676023734990025,"Blueground | E Cambridge, gym & w/d, nr station",107434423,Blueground,,East Cambridge,42.370595,-71.074224,Entire home/apt,374,32,0,,,169,144,0,
948559086938190912,Lux 1BR w/ Amenities Kendall Square,20857768,Compass,,Area 2/MIT,42.363145,-71.0878918,Entire home/apt,250,29,1,2024-06-28,0.07,14,268,0,
949475573742371181,"Cozy, Spacious Home in the Heart of Cambridge",102771443,Sheamin,,The Port,42.36667,-71.09878,Entire home/apt,492,1,167,2025-09-19,7.29,1,265,80,C0458190491
950040956803495172,Upscale One Bedroom in Kendall Square with Views,22541573,Furnished Quarters,,East Cambridge,42.36477609975511,-71.08204761294638,Entire home/apt,245,30,2,2024-05-28,0.09,12,348,0,
952440498873698321,CharlesRiverHarvardMIT 2-room studio 2nd Floor,394741679,Olena,,Riverside,42.36401918036752,-71.1121397236356,Private room,93,26,6,2025-08-30,0.41,16,270,3,C0357310491
953800690094149002,"Modern 2 bed,2 bath Gem MIT | Central Cambridge",31340713,Kama,,East Cambridge,42.37116,-71.08077,Entire home/apt,342,2,20,2025-09-10,0.77,10,334,5,
953807417127525686,Modern 2BR/2BA Gem near MIT | Central Cambridge,266312920,STARS Of,,East Cambridge,42.36904256054462,-71.08221971847759,Entire home/apt,278,2,27,2025-08-08,1.11,6,334,7,
954346445825347560,"Central Space 2 BR Condo to Balance Life, Work Pla",463475392,Haroldo,,The Port,42.363838,-71.100456,Entire home/apt,363,2,35,2025-09-11,1.47,33,155,20,STR-182644
955406406517539211,Kendall Square 2BR Condo near CiC MIT & GYM Slp 7,463475392,Haroldo,,Area 2/MIT,42.36295,-71.0861,Entire home/apt,471,3,23,2025-07-29,0.95,33,245,8,STR-182644
956551081419985039,CharlesRiverHarvardMIT 2ndFl Priv Entr Bedroom,394741679,Olena,,Riverside,42.365752066450725,-71.11364627174476,Private room,66,26,4,2025-06-10,0.20,16,221,3,C0357310491
957125777026757508,Cozy Queen Bedroom Near MIT,43450256,Steve,,East Cambridge,42.36903622529982,-71.07977474022276,Private room,128,4,22,2025-04-22,0.89,83,337,5,
958623369790316913,Private Small Bedroom walk to Harvard & Subway,93503221,Lynne,,Mid-Cambridge,42.3734,-71.1047,Private room,76,1,104,2025-09-11,4.07,8,49,47,C0354000491
958846398471312812,Quirky Queen Bedroom Near MIT,43450256,Steve,,East Cambridge,42.36695948771161,-71.0813077471462,Private room,128,4,18,2025-09-08,0.73,83,337,5,
960953204862169845,CharlesRiverHarvardMIT Cozy Bedr 2nd floor,394741679,Olena,,Riverside,42.36429,-71.11169,Private room,59,26,2,2024-08-03,0.09,16,270,0,
960960482667988473,"Quiet Room, Private Desk, Near Supermarket",43450256,Steve,,Wellington-Harrington,42.3724402773444,-71.09089963213613,Private room,56,3,5,2024-05-25,0.22,83,80,0,
963178772828618161,"Harvard, MIT, Parking Pass! Central Square Aerie",533156148,Liesl,,Cambridgeport,42.36183,-71.10415,Entire home/apt,292,2,36,2025-09-21,1.44,1,142,14,STR-1155976
963523446371001048,"Blueground | Central Sq, in-unit w/d, nr dining",107434423,Blueground,,Cambridgeport,42.3649409,-71.103909,Entire home/apt,328,32,0,,,169,85,0,
965794269203671699,Cambridge Best 3bed apt w/Parking,373675137,Liya,,North Cambridge,42.39282,-71.13379,Entire home/apt,130,29,57,2025-09-21,2.35,97,207,43,
967756760501396898,Central Square Serene Penthouse w/GYM & Parking,463475392,Haroldo,,The Port,42.363754,-71.100307,Entire home/apt,593,2,41,2025-05-12,1.69,33,184,17,
968257188281592322,"Central Square High Rise Retreat, Gym, Parking W/D",463475392,Haroldo,,The Port,42.36384,-71.10046,Entire home/apt,427,2,49,2025-09-17,2.06,33,165,21,
968948922084936569,Cambridgeport 3rd Floor Nice 2-room studio,394741679,Olena,,Cambridgeport,42.36051,-71.10563,Entire home/apt,97,30,8,2025-09-19,0.42,16,281,5,
978849360857179472,Full Bedroom D in #1701: Somerville,297860058,Sophia,,Mid-Cambridge,42.37625429404393,-71.1064492720067,Private room,,91,0,,,1,362,0,
981842359269794208,Spacious Queen Bedroom w/ Desk,43450256,Steve,,Wellington-Harrington,42.37247,-71.08952,Private room,118,30,2,2024-04-05,0.09,83,179,0,
981888613200043615,"Quiet Room, Private Desk, Near Shops Harvard & MIT",43450256,Steve,,Wellington-Harrington,42.372042170942954,-71.09007637470957,Private room,114,30,2,2023-12-28,0.09,83,179,0,
982009517665623926,"Quiet Room, Private Desk, Walk to MIT, Near Shops",43450256,Steve,,Wellington-Harrington,42.37221932093733,-71.09062286927193,Private room,110,30,1,2023-11-02,0.04,83,179,0,
982717638805134477,Central Square Upscale Penthouse near MIT/Harvard,463475392,Haroldo,,The Port,42.3637087,-71.10041489999999,Entire home/apt,356,30,42,2025-09-01,1.76,33,176,22,STR-182644
983442537658105697,Private bedroom walking distance to Porter SQ r1,488388831,Kaan,,Neighborhood Nine,42.38802976676119,-71.12027366368875,Private room,73,30,53,2025-08-09,2.18,9,343,28,
983497357043285481,Porter SQ walking distance private bedroom r2,488388831,Kaan,,Neighborhood Nine,42.38795348088281,-71.12012637174917,Private room,75,30,58,2025-09-14,3.22,9,337,46,
983506848306117725,Walking distance to Porter SQ  private bedroom r4,488388831,Kaan,,North Cambridge,42.38923,-71.11931,Private room,98,30,64,2025-09-09,2.63,9,346,33,
984480567703925084,City Dreams are made here! Close to Faneuil Hall,501999514,RoomPicks,,East Cambridge,42.36671,-71.07489,Hotel room,632,1,0,,,1,184,0,C0015760490
987032852131603313,Cozy Queen Bedroom Near MIT,43450256,Steve,,East Cambridge,42.36762898307611,-71.08177601004842,Private room,136,4,9,2025-08-13,0.37,83,329,4,
987059647427696260,Cozy Queen Bedroom Near MIT,43450256,Steve,,East Cambridge,42.36713891512962,-71.0816949412737,Private room,136,4,14,2025-08-12,0.58,83,329,3,
987602112187689722,Walk to Harvard & MIT 3,15154687,Taskin,,Cambridgeport,42.36388523328904,-71.10799565590649,Private room,81,1,111,2025-09-04,4.56,16,347,49,
988456532079671597,Walk to Harvard (semester rentals at discount),182515805,Maryann,,Mid-Cambridge,42.37711,-71.10661,Entire home/apt,270,3,10,2025-09-18,2.26,1,108,10,
990127857931944993,"2Bed, 1.5Bath, Multi-Level Townhouse, Sleeps 6",31340713,Kama,,Riverside,42.364270127391464,-71.109489797575,Entire home/apt,265,2,20,2025-08-19,0.86,10,346,10,
991358505678599718,"zzz Quiet Room, Private Desk, Near Supermarket",43450256,Steve,,East Cambridge,42.3722472381896,-71.08397367915144,Private room,,30,2,2024-02-13,0.09,83,0,0,
991486135625844125,"2Bed, 1.5Bath, Multi-Level Townhouse, Sleeps 6",266312920,STARS Of,,Riverside,42.364337481609134,-71.10969552788434,Entire home/apt,200,2,5,2025-08-24,0.33,6,343,4,
993071246931669307,"zzz Quiet Room, Private Desk, Near Supermarket",43450256,Steve,,East Cambridge,42.37170515589872,-71.0826081459261,Private room,,30,2,2024-03-20,0.10,83,0,0,
994346837966557081,Central Square 2BR Condo near Harvard  & MIT Spaci,463475392,Haroldo,,The Port,42.3638649,-71.10042729999999,Entire home/apt,419,2,57,2025-09-07,2.39,33,180,30,
994958540516980415,Lux 2BR w/ Amenities,20857768,Compass,,Area 2/MIT,42.363145,-71.0878918,Entire home/apt,299,29,0,,,14,178,0,
996638434486016385,Gamma Room @ CCVP in Harvard SQ,78459716,Christiana,,Mid-Cambridge,42.37041,-71.11291,Private room,120,1,102,2025-09-26,4.42,4,298,47,C0000239712
998582507525458740,"Near MIT, Harvard & Central Square Transit & Shops",43450256,Steve,,The Port,42.36624,-71.09901,Entire home/apt,297,30,1,2024-08-08,0.07,83,322,0,
